ID,Leeftijd,Marges,WijkenEnBuurten,Perioden,Gemeentenaam_1,SoortRegio_2,Codering_3,ErvarenGezondheidGoedZeerGoed_4
2969,20300,MW00000,BU03630800,2020JJ00,Amsterdam,Buurt,BU03630800,83.4
2970,20300,MW00000,BU03630801,2012JJ00,Amsterdam,Buurt,BU03630801,81.3
2971,20300,MW00000,BU03630801,2016JJ00,Amsterdam,Buurt,BU03630801,81.5
2972,20300,MW00000,BU03630801,2020JJ00,Amsterdam,Buurt,BU03630801,84.5
2973,20300,MW00000,BU03630803,2012JJ00,Amsterdam,Buurt,BU03630803,83.2
2974,20300,MW00000,BU03630803,2016JJ00,Amsterdam,Buurt,BU03630803,82.7
2975,20300,MW00000,BU03630803,2020JJ00,Amsterdam,Buurt,BU03630803,85.2
2976,20300,MW00000,BU03630804,2012JJ00,Amsterdam,Buurt,BU03630804,84.3
2977,20300,MW00000,BU03630804,2016JJ00,Amsterdam,Buurt,BU03630804,84.0
2978,20300,MW00000,BU03630804,2020JJ00,Amsterdam,Buurt,BU03630804,86.8
2979,20300,MW00000,WK036309,2012JJ00,Amsterdam,Wijk,WK036309,75.4
2980,20300,MW00000,WK036309,2016JJ00,Amsterdam,Wijk,WK036309,74.7
2981,20300,MW00000,WK036309,2020JJ00,Amsterdam,Wijk,WK036309,77.9
2982,20300,MW00000,BU03630900,2012JJ00,Amsterdam,Buurt,BU03630900,81.1
2983,20300,MW00000,BU03630900,2016JJ00,Amsterdam,Buurt,BU03630900,83.3
2984,20300,MW00000,BU03630900,2020JJ00,Amsterdam,Buurt,BU03630900,84.9
2985,20300,MW00000,BU03630901,2012JJ00,Amsterdam,Buurt,BU03630901,73.2
2986,20300,MW00000,BU03630901,2016JJ00,Amsterdam,Buurt,BU03630901,72.8
2987,20300,MW00000,BU03630901,2020JJ00,Amsterdam,Buurt,BU03630901,75.8
2988,20300,MW00000,BU03630902,2012JJ00,Amsterdam,Buurt,BU03630902,73.3
2989,20300,MW00000,BU03630902,2016JJ00,Amsterdam,Buurt,BU03630902,72.3
